timestamp,labels,value
1787139839,authority=authority-2,6
1787139844,authority=authority-2,1
1787139849,authority=authority-2,1
1787139854,authority=authority-2,2
1787139859,authority=authority-2,7
1787139864,authority=authority-2,3
1787139869,authority=authority-2,5
1787139874,authority=authority-2,2
1787139879,authority=authority-2,1
1787139884,authority=authority-2,6
1787139889,authority=authority-2,3
1787139894,authority=authority-2,4
1787139899,authority=authority-2,2
1787139904,authority=authority-2,3
1787139909,authority=authority-2,4
1787139914,authority=authority-2,0
1787139919,authority=authority-2,6
1787139924,authority=authority-2,3
1787139929,authority=authority-2,1
1787139934,authority=authority-2,5
1787139939,authority=authority-2,7
1787139944,authority=authority-2,1
1787139949,authority=authority-2,1
1787139954,authority=authority-2,2
1787139959,authority=authority-2,3
1787139964,authority=authority-2,8
1787139969,authority=authority-2,0
1787139974,authority=authority-2,3
1787139979,authority=authority-2,8
1787139984,authority=authority-2,1
1787139989,authority=authority-2,1
1787139994,authority=authority-2,3
1787139999,authority=authority-2,4
1787140004,authority=authority-2,3
1787140009,authority=authority-2,3
1787140014,authority=authority-2,6
1787140019,authority=authority-2,6
1787140024,authority=authority-2,5
1787140029,authority=authority-2,8
1787140034,authority=authority-2,5
1787140039,authority=authority-2,4
1787140044,authority=authority-2,7
1787140049,authority=authority-2,6
1787140054,authority=authority-2,1
1787140059,authority=authority-2,2
1787140064,authority=authority-2,3
1787140069,authority=authority-2,8
1787140074,authority=authority-2,7
1787140079,authority=authority-2,8
1787140084,authority=authority-2,7
1787140089,authority=authority-2,0
1787140094,authority=authority-2,2
1787140099,authority=authority-2,4
1787140104,authority=authority-2,7
1787140109,authority=authority-2,5
1787140114,authority=authority-2,3
1787139514,authority=authority-3,0
1787139519,authority=authority-3,1
1787139524,authority=authority-3,1
1787139529,authority=authority-3,4
1787139534,authority=authority-3,1
1787139539,authority=authority-3,1
1787139544,authority=authority-3,5
1787139549,authority=authority-3,3
1787139554,authority=authority-3,5
1787139559,authority=authority-3,3
1787139564,authority=authority-3,1
1787139569,authority=authority-3,4
1787139574,authority=authority-3,0
1787139579,authority=authority-3,0
1787139584,authority=authority-3,6
1787139589,authority=authority-3,0
1787139594,authority=authority-3,6
1787139599,authority=authority-3,6
1787139604,authority=authority-3,0
1787139609,authority=authority-3,1
1787139614,authority=authority-3,1
1787139619,authority=authority-3,6
1787139624,authority=authority-3,7
1787139629,authority=authority-3,1
1787139634,authority=authority-3,5
1787139639,authority=authority-3,5
1787139644,authority=authority-3,1
1787139649,authority=authority-3,0
1787139654,authority=authority-3,2
1787139659,authority=authority-3,6
1787139664,authority=authority-3,1
1787139669,authority=authority-3,2
1787139674,authority=authority-3,2
1787139679,authority=authority-3,1
1787139684,authority=authority-3,5
1787139689,authority=authority-3,0
1787139694,authority=authority-3,1
1787139699,authority=authority-3,6
1787139704,authority=authority-3,7
1787139709,authority=authority-3,1
1787139714,authority=authority-3,5
1787139719,authority=authority-3,4
1787139724,authority=authority-3,2
1787139729,authority=authority-3,8
1787139734,authority=authority-3,2
1787139739,authority=authority-3,1
1787139744,authority=authority-3,7
1787139749,authority=authority-3,8
1787139754,authority=authority-3,5
1787139759,authority=authority-3,5
1787139764,authority=authority-3,1
1787139769,authority=authority-3,1
1787139774,authority=authority-3,9
1787139779,authority=authority-3,7
1787139784,authority=authority-3,6
1787139789,authority=authority-3,5
1787139794,authority=authority-3,7
1787139799,authority=authority-3,5
1787139804,authority=authority-3,6
1787139809,authority=authority-3,5
1787139814,authority=authority-3,3
1787139819,authority=authority-3,4
1787139824,authority=authority-3,5
1787139829,authority=authority-3,0
1787139834,authority=authority-3,6
1787139839,authority=authority-3,3
1787139844,authority=authority-3,4
1787139849,authority=authority-3,7
1787139854,authority=authority-3,3
1787139859,authority=authority-3,6
1787139864,authority=authority-3,2
1787139869,authority=authority-3,6
1787139874,authority=authority-3,3
1787139879,authority=authority-3,6
1787139884,authority=authority-3,0
1787139889,authority=authority-3,6
1787139894,authority=authority-3,7
1787139899,authority=authority-3,5
1787139904,authority=authority-3,6
1787139909,authority=authority-3,1
1787139914,authority=authority-3,4
1787139919,authority=authority-3,7
1787139924,authority=authority-3,5
1787139929,authority=authority-3,2
1787139934,authority=authority-3,5
1787139939,authority=authority-3,2
1787139944,authority=authority-3,7
1787139949,authority=authority-3,6
1787139954,authority=authority-3,3
1787139959,authority=authority-3,8
1787139964,authority=authority-3,4
1787139969,authority=authority-3,3
1787139974,authority=authority-3,3
1787139979,authority=authority-3,1
1787139984,authority=authority-3,7
1787139989,authority=authority-3,5
1787139994,authority=authority-3,2
1787139999,authority=authority-3,4
1787140004,authority=authority-3,6
1787140009,authority=authority-3,5
1787140014,authority=authority-3,7
1787140019,authority=authority-3,4
1787140024,authority=authority-3,1
1787140029,authority=authority-3,3
1787140034,authority=authority-3,6
1787140039,authority=authority-3,4
1787140044,authority=authority-3,3
1787140049,authority=authority-3,5
1787140054,authority=authority-3,1
1787140059,authority=authority-3,3
1787140064,authority=authority-3,3
1787140069,authority=authority-3,5
1787140074,authority=authority-3,2
1787140079,authority=authority-3,7
1787140084,authority=authority-3,7
1787140089,authority=authority-3,6
1787140094,authority=authority-3,4
1787140099,authority=authority-3,8
1787140104,authority=authority-3,0
1787140109,authority=authority-3,3
1787140114,authority=authority-3,3
1787139514,authority=authority-4,0
1787139519,authority=authority-4,7
1787139524,authority=authority-4,6
1787139529,authority=authority-4,5
1787139534,authority=authority-4,3
1787139539,authority=authority-4,5
1787139544,authority=authority-4,3
1787139549,authority=authority-4,6
1787139554,authority=authority-4,4
1787139559,authority=authority-4,6
1787139564,authority=authority-4,6
1787139569,authority=authority-4,4
1787139574,authority=authority-4,1
1787139579,authority=authority-4,3
1787139584,authority=authority-4,6
1787139589,authority=authority-4,7
1787139594,authority=authority-4,2
1787139599,authority=authority-4,4
1787139604,authority=authority-4,6
1787139609,authority=authority-4,5
1787139614,authority=authority-4,6
1787139619,authority=authority-4,2
1787139624,authority=authority-4,3
1787139629,authority=authority-4,6
1787139634,authority=authority-4,6
1787139639,authority=authority-4,7
1787139644,authority=authority-4,5
1787139649,authority=authority-4,1
1787139654,authority=authority-4,2
1787139659,authority=authority-4,4
1787139664,authority=authority-4,1
1787139669,authority=authority-4,5
1787139674,authority=authority-4,8
1787139679,authority=authority-4,6
1787139684,authority=authority-4,7
1787139689,authority=authority-4,3
1787139694,authority=authority-4,5
1787139699,authority=authority-4,4
1787139704,authority=authority-4,6
1787139709,authority=authority-4,6
1787139714,authority=authority-4,9
1787139719,authority=authority-4,1
1787139724,authority=authority-4,3
1787139729,authority=authority-4,8
1787139734,authority=authority-4,6
1787139739,authority=authority-4,3
1787139744,authority=authority-4,6
1787139749,authority=authority-4,7
1787139754,authority=authority-4,5
1787139759,authority=authority-4,6
1787139764,authority=authority-4,2
1787139769,authority=authority-4,7
1787139774,authority=authority-4,7
1787139779,authority=authority-4,7
1787139784,authority=authority-4,2
1787139789,authority=authority-4,2
1787139794,authority=authority-4,7
1787139799,authority=authority-4,4
1787139804,authority=authority-4,3
1787139809,authority=authority-4,6
1787139814,authority=authority-4,1
1787139819,authority=authority-4,1
1787139824,authority=authority-4,3
1787139829,authority=authority-4,3
1787139834,authority=authority-4,6
1787139839,authority=authority-4,1
1787139844,authority=authority-4,3
1787139849,authority=authority-4,2
1787139854,authority=authority-4,5
1787139859,authority=authority-4,7
1787139864,authority=authority-4,1
1787139869,authority=authority-4,2
1787139874,authority=authority-4,6
1787139879,authority=authority-4,0
1787139884,authority=authority-4,2
1787139889,authority=authority-4,3
1787139894,authority=authority-4,7
1787139899,authority=authority-4,6
1787139904,authority=authority-4,5
1787139909,authority=authority-4,6
1787139914,authority=authority-4,3
1787139919,authority=authority-4,5
1787139924,authority=authority-4,5
1787139929,authority=authority-4,6
1787139934,authority=authority-4,3
1787139939,authority=authority-4,5
1787139944,authority=authority-4,4
1787139949,authority=authority-4,4
1787139954,authority=authority-4,2
1787139959,authority=authority-4,8
1787139964,authority=authority-4,4
1787139969,authority=authority-4,6
1787139974,authority=authority-4,8
1787139979,authority=authority-4,1
1787139984,authority=authority-4,2
1787139989,authority=authority-4,4
1787139994,authority=authority-4,5
1787139999,authority=authority-4,0
1787140004,authority=authority-4,8
1787140009,authority=authority-4,0
1787140014,authority=authority-4,2
1787140019,authority=authority-4,3
1787140024,authority=authority-4,5
1787140029,authority=authority-4,6
1787140034,authority=authority-4,1
1787140039,authority=authority-4,8
1787140044,authority=authority-4,4
1787140049,authority=authority-4,8
1787140054,authority=authority-4,6
1787140059,authority=authority-4,1
1787140064,authority=authority-4,6
1787140069,authority=authority-4,5
1787140074,authority=authority-4,6
1787140079,authority=authority-4,5
1787140084,authority=authority-4,2
1787140089,authority=authority-4,3
1787140094,authority=authority-4,1
1787140099,authority=authority-4,7
1787140104,authority=authority-4,3
1787140109,authority=authority-4,1
1787140114,authority=authority-4,6
