timestamp,labels,value
1787138484,"authority=authority-1,wait_event_type=IO",1
1787138504,"authority=authority-1,wait_event_type=IO",1
1787138509,"authority=authority-1,wait_event_type=IO",1
1787138514,"authority=authority-1,wait_event_type=IO",1
1787138519,"authority=authority-1,wait_event_type=IO",1
1787138534,"authority=authority-1,wait_event_type=IO",1
1787138539,"authority=authority-1,wait_event_type=IO",1
1787138544,"authority=authority-1,wait_event_type=IO",1
1787138554,"authority=authority-1,wait_event_type=IO",1
1787138559,"authority=authority-1,wait_event_type=IO",1
1787138564,"authority=authority-1,wait_event_type=IO",1
1787138574,"authority=authority-1,wait_event_type=IO",1
1787138579,"authority=authority-1,wait_event_type=IO",1
1787138584,"authority=authority-1,wait_event_type=IO",1
1787138589,"authority=authority-1,wait_event_type=IO",1
1787138599,"authority=authority-1,wait_event_type=IO",1
1787138604,"authority=authority-1,wait_event_type=IO",1
1787138609,"authority=authority-1,wait_event_type=IO",1
1787138014,"authority=authority-1,wait_event_type=LWLock",6
1787138019,"authority=authority-1,wait_event_type=LWLock",7
1787138039,"authority=authority-1,wait_event_type=LWLock",1
1787138044,"authority=authority-1,wait_event_type=LWLock",2
1787138049,"authority=authority-1,wait_event_type=LWLock",4
1787138054,"authority=authority-1,wait_event_type=LWLock",2
1787138059,"authority=authority-1,wait_event_type=LWLock",2
1787138069,"authority=authority-1,wait_event_type=LWLock",2
1787138074,"authority=authority-1,wait_event_type=LWLock",1
1787138079,"authority=authority-1,wait_event_type=LWLock",4
1787138084,"authority=authority-1,wait_event_type=LWLock",1
1787138094,"authority=authority-1,wait_event_type=LWLock",1
1787138099,"authority=authority-1,wait_event_type=LWLock",6
1787138109,"authority=authority-1,wait_event_type=LWLock",3
1787138119,"authority=authority-1,wait_event_type=LWLock",2
1787138124,"authority=authority-1,wait_event_type=LWLock",1
1787138129,"authority=authority-1,wait_event_type=LWLock",6
1787138134,"authority=authority-1,wait_event_type=LWLock",4
1787138139,"authority=authority-1,wait_event_type=LWLock",4
1787138144,"authority=authority-1,wait_event_type=LWLock",2
1787138154,"authority=authority-1,wait_event_type=LWLock",1
1787138159,"authority=authority-1,wait_event_type=LWLock",7
1787138164,"authority=authority-1,wait_event_type=LWLock",4
1787138179,"authority=authority-1,wait_event_type=LWLock",1
1787138194,"authority=authority-1,wait_event_type=LWLock",6
1787138199,"authority=authority-1,wait_event_type=LWLock",6
1787138204,"authority=authority-1,wait_event_type=LWLock",7
1787138209,"authority=authority-1,wait_event_type=LWLock",3
1787138214,"authority=authority-1,wait_event_type=LWLock",2
1787138224,"authority=authority-1,wait_event_type=LWLock",1
1787138229,"authority=authority-1,wait_event_type=LWLock",5
1787138234,"authority=authority-1,wait_event_type=LWLock",3
1787138239,"authority=authority-1,wait_event_type=LWLock",1
1787138249,"authority=authority-1,wait_event_type=LWLock",3
1787138259,"authority=authority-1,wait_event_type=LWLock",3
1787138264,"authority=authority-1,wait_event_type=LWLock",7
1787138274,"authority=authority-1,wait_event_type=LWLock",2
1787138284,"authority=authority-1,wait_event_type=LWLock",5
1787138289,"authority=authority-1,wait_event_type=LWLock",1
1787138294,"authority=authority-1,wait_event_type=LWLock",1
1787138299,"authority=authority-1,wait_event_type=LWLock",3
1787138304,"authority=authority-1,wait_event_type=LWLock",6
1787138314,"authority=authority-1,wait_event_type=LWLock",5
1787138319,"authority=authority-1,wait_event_type=LWLock",3
1787138324,"authority=authority-1,wait_event_type=LWLock",5
1787138339,"authority=authority-1,wait_event_type=LWLock",3
1787138349,"authority=authority-1,wait_event_type=LWLock",2
1787138354,"authority=authority-1,wait_event_type=LWLock",4
1787138364,"authority=authority-1,wait_event_type=LWLock",1
1787138369,"authority=authority-1,wait_event_type=LWLock",5
1787138374,"authority=authority-1,wait_event_type=LWLock",3
1787138379,"authority=authority-1,wait_event_type=LWLock",2
1787138384,"authority=authority-1,wait_event_type=LWLock",1
1787138389,"authority=authority-1,wait_event_type=LWLock",4
1787138394,"authority=authority-1,wait_event_type=LWLock",3
1787138399,"authority=authority-1,wait_event_type=LWLock",4
1787138409,"authority=authority-1,wait_event_type=LWLock",1
1787138419,"authority=authority-1,wait_event_type=LWLock",1
1787138429,"authority=authority-1,wait_event_type=LWLock",4
1787138434,"authority=authority-1,wait_event_type=LWLock",2
1787138439,"authority=authority-1,wait_event_type=LWLock",2
1787138444,"authority=authority-1,wait_event_type=LWLock",1
1787138449,"authority=authority-1,wait_event_type=LWLock",2
1787138459,"authority=authority-1,wait_event_type=LWLock",1
1787138464,"authority=authority-1,wait_event_type=LWLock",7
1787138474,"authority=authority-1,wait_event_type=LWLock",2
1787138479,"authority=authority-1,wait_event_type=LWLock",2
1787138484,"authority=authority-1,wait_event_type=LWLock",6
1787138489,"authority=authority-1,wait_event_type=LWLock",2
1787138494,"authority=authority-1,wait_event_type=LWLock",2
1787138499,"authority=authority-1,wait_event_type=LWLock",2
1787138504,"authority=authority-1,wait_event_type=LWLock",2
1787138509,"authority=authority-1,wait_event_type=LWLock",5
1787138514,"authority=authority-1,wait_event_type=LWLock",2
1787138524,"authority=authority-1,wait_event_type=LWLock",1
1787138529,"authority=authority-1,wait_event_type=LWLock",3
1787138534,"authority=authority-1,wait_event_type=LWLock",3
1787138539,"authority=authority-1,wait_event_type=LWLock",1
1787138554,"authority=authority-1,wait_event_type=LWLock",2
1787138579,"authority=authority-1,wait_event_type=LWLock",2
1787138584,"authority=authority-1,wait_event_type=LWLock",7
1787138599,"authority=authority-1,wait_event_type=LWLock",2
1787138604,"authority=authority-1,wait_event_type=LWLock",3
1787138609,"authority=authority-1,wait_event_type=LWLock",4
1787138269,"authority=authority-1,wait_event_type=Timeout",1
1787138449,"authority=authority-1,wait_event_type=Timeout",1
1787138569,"authority=authority-1,wait_event_type=Timeout",1
1787138574,"authority=authority-1,wait_event_type=Timeout",1
1787138009,authority=authority-2,3
1787138014,authority=authority-2,1
1787138019,authority=authority-2,2
1787138024,authority=authority-2,1
1787138029,authority=authority-2,3
1787138034,authority=authority-2,3
1787138039,authority=authority-2,0
1787138044,authority=authority-2,2
1787138049,authority=authority-2,1
1787138054,authority=authority-2,1
1787138059,authority=authority-2,0
1787138064,authority=authority-2,1
1787138069,authority=authority-2,1
1787138074,authority=authority-2,0
1787138079,authority=authority-2,0
1787138084,authority=authority-2,1
1787138089,authority=authority-2,1
1787138094,authority=authority-2,5
1787138099,authority=authority-2,2
1787138104,authority=authority-2,2
1787138109,authority=authority-2,3
1787138114,authority=authority-2,0
1787138119,authority=authority-2,3
1787138124,authority=authority-2,2
1787138129,authority=authority-2,0
1787138134,authority=authority-2,3
1787138139,authority=authority-2,0
1787138144,authority=authority-2,3
1787138149,authority=authority-2,1
1787138154,authority=authority-2,0
1787138159,authority=authority-2,3
1787138164,authority=authority-2,4
1787138169,authority=authority-2,2
1787138174,authority=authority-2,1
1787138179,authority=authority-2,3
1787138184,authority=authority-2,5
1787138189,authority=authority-2,3
1787138194,authority=authority-2,2
1787138199,authority=authority-2,1
1787138204,authority=authority-2,1
1787138209,authority=authority-2,0
1787138214,authority=authority-2,1
1787138219,authority=authority-2,0
1787138224,authority=authority-2,1
1787138229,authority=authority-2,1
1787138234,authority=authority-2,1
1787138239,authority=authority-2,2
1787138244,authority=authority-2,0
1787138249,authority=authority-2,2
1787138254,authority=authority-2,0
1787138259,authority=authority-2,1
1787138264,authority=authority-2,1
1787138269,authority=authority-2,1
1787138274,authority=authority-2,4
1787138279,authority=authority-2,4
1787138284,authority=authority-2,2
1787138289,authority=authority-2,1
1787138294,authority=authority-2,2
1787138299,authority=authority-2,3
1787138304,authority=authority-2,3
1787138309,authority=authority-2,2
1787138314,authority=authority-2,0
1787138319,authority=authority-2,2
1787138324,authority=authority-2,1
1787138329,authority=authority-2,1
1787138334,authority=authority-2,1
1787138339,authority=authority-2,3
1787138344,authority=authority-2,5
1787138349,authority=authority-2,1
1787138354,authority=authority-2,2
1787138359,authority=authority-2,0
1787138364,authority=authority-2,0
1787138369,authority=authority-2,1
1787138374,authority=authority-2,2
1787138379,authority=authority-2,1
1787138384,authority=authority-2,3
1787138389,authority=authority-2,1
1787138394,authority=authority-2,1
1787138399,authority=authority-2,4
1787138404,authority=authority-2,3
1787138409,authority=authority-2,1
1787138414,authority=authority-2,0
1787138419,authority=authority-2,2
1787138424,authority=authority-2,3
1787138429,authority=authority-2,2
1787138434,authority=authority-2,1
1787138439,authority=authority-2,1
1787138444,authority=authority-2,2
1787138449,authority=authority-2,1
1787138454,authority=authority-2,5
1787138459,authority=authority-2,1
1787138464,authority=authority-2,0
1787138469,authority=authority-2,3
1787138474,authority=authority-2,0
1787138479,authority=authority-2,2
1787138484,authority=authority-2,1
1787138489,authority=authority-2,1
1787138494,authority=authority-2,1
1787138499,authority=authority-2,1
1787138504,authority=authority-2,2
1787138509,authority=authority-2,0
1787138514,authority=authority-2,3
1787138519,authority=authority-2,1
1787138524,authority=authority-2,1
1787138529,authority=authority-2,0
1787138534,authority=authority-2,3
1787138539,authority=authority-2,0
1787138544,authority=authority-2,2
1787138549,authority=authority-2,1
1787138554,authority=authority-2,0
1787138559,authority=authority-2,1
1787138564,authority=authority-2,0
1787138569,authority=authority-2,1
1787138574,authority=authority-2,1
1787138579,authority=authority-2,1
1787138584,authority=authority-2,3
1787138589,authority=authority-2,0
1787138594,authority=authority-2,1
1787138599,authority=authority-2,2
1787138604,authority=authority-2,2
1787138609,authority=authority-2,0
1787138124,"authority=authority-2,wait_event_type=Client",1
1787138264,"authority=authority-2,wait_event_type=Client",2
1787138299,"authority=authority-2,wait_event_type=Client",1
1787138344,"authority=authority-2,wait_event_type=Client",1
1787138009,"authority=authority-2,wait_event_type=IO",1
1787138014,"authority=authority-2,wait_event_type=IO",1
1787138029,"authority=authority-2,wait_event_type=IO",1
1787138039,"authority=authority-2,wait_event_type=IO",1
1787138044,"authority=authority-2,wait_event_type=IO",1
1787138049,"authority=authority-2,wait_event_type=IO",1
1787138059,"authority=authority-2,wait_event_type=IO",1
1787138064,"authority=authority-2,wait_event_type=IO",1
1787138069,"authority=authority-2,wait_event_type=IO",1
1787138074,"authority=authority-2,wait_event_type=IO",1
1787138079,"authority=authority-2,wait_event_type=IO",1
1787138084,"authority=authority-2,wait_event_type=IO",1
1787138099,"authority=authority-2,wait_event_type=IO",1
1787138104,"authority=authority-2,wait_event_type=IO",1
1787138109,"authority=authority-2,wait_event_type=IO",1
1787138119,"authority=authority-2,wait_event_type=IO",1
1787138129,"authority=authority-2,wait_event_type=IO",1
1787138134,"authority=authority-2,wait_event_type=IO",1
1787138139,"authority=authority-2,wait_event_type=IO",1
1787138149,"authority=authority-2,wait_event_type=IO",1
1787138154,"authority=authority-2,wait_event_type=IO",1
1787138169,"authority=authority-2,wait_event_type=IO",1
1787138174,"authority=authority-2,wait_event_type=IO",1
1787138179,"authority=authority-2,wait_event_type=IO",1
1787138194,"authority=authority-2,wait_event_type=IO",1
1787138214,"authority=authority-2,wait_event_type=IO",1
1787138219,"authority=authority-2,wait_event_type=IO",1
1787138224,"authority=authority-2,wait_event_type=IO",1
1787138229,"authority=authority-2,wait_event_type=IO",1
1787138234,"authority=authority-2,wait_event_type=IO",1
1787138239,"authority=authority-2,wait_event_type=IO",1
1787138244,"authority=authority-2,wait_event_type=IO",1
1787138249,"authority=authority-2,wait_event_type=IO",1
1787138279,"authority=authority-2,wait_event_type=IO",1
1787138284,"authority=authority-2,wait_event_type=IO",1
1787138289,"authority=authority-2,wait_event_type=IO",1
1787138304,"authority=authority-2,wait_event_type=IO",1
1787138314,"authority=authority-2,wait_event_type=IO",1
1787138319,"authority=authority-2,wait_event_type=IO",1
1787138329,"authority=authority-2,wait_event_type=IO",1
1787138334,"authority=authority-2,wait_event_type=IO",1
1787138339,"authority=authority-2,wait_event_type=IO",1
1787138349,"authority=authority-2,wait_event_type=IO",1
1787138354,"authority=authority-2,wait_event_type=IO",1
1787138364,"authority=authority-2,wait_event_type=IO",1
1787138379,"authority=authority-2,wait_event_type=IO",1
1787138384,"authority=authority-2,wait_event_type=IO",1
1787138389,"authority=authority-2,wait_event_type=IO",1
1787138394,"authority=authority-2,wait_event_type=IO",1
1787138399,"authority=authority-2,wait_event_type=IO",1
1787138414,"authority=authority-2,wait_event_type=IO",1
1787138424,"authority=authority-2,wait_event_type=IO",1
1787138429,"authority=authority-2,wait_event_type=IO",1
1787138434,"authority=authority-2,wait_event_type=IO",1
1787138439,"authority=authority-2,wait_event_type=IO",1
1787138449,"authority=authority-2,wait_event_type=IO",1
1787138464,"authority=authority-2,wait_event_type=IO",1
1787138479,"authority=authority-2,wait_event_type=IO",1
1787138484,"authority=authority-2,wait_event_type=IO",1
1787138504,"authority=authority-2,wait_event_type=IO",1
1787138509,"authority=authority-2,wait_event_type=IO",1
1787138514,"authority=authority-2,wait_event_type=IO",1
